160;BOLO CACAROLA P;2.69;0;4
161;CHOCOLATE      ;2.19;1;30
162;BOLO CHOCOLATE ;2.69;0;4
164;TORRADA AMERICA;3.69;0;29
165;CASADINHO DE GO;4.29;0;29
166;BISNAGUINHA LAR;2.39;0;5
167;BOMBOM CEREJA C;0.25;1;0
168;PAO FRANCES    ;0.04;1;0
169;ACRESC PAO DE M;1.09;1;0
170;MINI PAO FRANCE;1.89;0;2
171;TORTA DE LEGUME;2.59;0;4
172;QUICHE ALHO POR;3.09;0;4
173;BOLO LARANJA TR;3.29;0;4
174;BOLO TIRA HOLAN;2.89;0;5
176;MINI TORTA HOLA;0.65;1;9
177;SOPA VARIADAS  ;3.09;0;3
178;UVA VERDE SCARO;2.59;0;6
179;UVA ROXA SCAROC;2.59;0;6
180;PERA           ;1.69;0;6
181;MIXIRICA       ;0.99;0;6
182;MACA GALA      ;1.29;0;5
183;MACA ARGENTINA ;1.59;0;6
184;MACA VERDE     ;1.59;0;6
185;GOIABA         ;1.29;0;6
186;MAMAO          ;0.49;1;6
187;KIWI           ;1.59;0;6
188;LIMAO          ;0.79;0;6
189;CENOURA        ;0.59;0;6
190;BERINGELA      ;0.79;0;6
191;CHUCHU         ;0.59;0;6
193;MANDIOQUINHA   ;1.09;0;6
194;TOMATE SALADA  ;0.69;0;6
195;PIMENTAO VERMEL;0.99;0;6
196;PIMENTAO VERDE ;0.99;0;6
197;TOMATE CEREJA  ;0.70;0;6
198;SALADA VARIADAS;0.80;0;6
199;MORANGO BANDEJA;0.69;1;4
200;BOLO FATIA FORM;3.49;0;4
